0.53767,0.6737,9.7251
1.8339,-0.66911,11.109
-2.2588,-0.40032,22.027
0.86217,-0.6718,2.4278
0.31877,0.57563,6.5156
-1.3077,-0.77809,12.096
-0.43359,-1.0636,6.1289
0.34262,0.55298,6.5931
3.5784,-0.42343,49.843
2.7694,0.36159,45.012
-1.3499,-0.35189,8.0314
3.0349,0.26954,50.132
0.7254,-2.5644,18.448
-0.063055,0.46586,3.1964
0.71474,1.8536,35.166
-0.20497,1.0393,7.7643
-0.12414,0.9109,7.141
1.4897,-0.23973,10.563
1.409,0.181,13.973
1.4172,0.24425,15.005
0.6715,0.096393,4.8242
-1.2075,-0.83047,11.429
0.71724,-0.35225,2.502
1.6302,-0.17478,12.8
0.48889,-0.48065,1.3989
1.0347,0.83684,18.474
0.72689,2.5383,55.411
-0.30344,-1.3233,7.9492
0.29387,0.12834,2.6136
-0.78728,-1.4424,14.937
0.8884,1.3025,25.47
-1.1471,1.4099,8.3365
-1.0689,-1.6625,22.863
-0.8095,1.9437,17.334
-2.9443,-1.0847,51.539
1.4384,0.22682,15.247
0.32519,1.0989,13.716
-0.75493,0.14719,1.7089
1.3703,2.2957,63.42
-1.7115,2.7526,27.135
-0.10224,0.13832,1.3395
-0.24145,-1.9071,16.089
0.31921,-0.36499,0.93221
0.31286,-0.84811,1.6701
-0.86488,-0.76475,6.9279
-0.030051,-1.1277,4.1112
-0.16488,0.078189,1.0039
0.62771,2.1066,40.385
1.0933,-0.71585,3.6466
1.1093,-0.28052,5.8168
-0.86365,1.1665,6.7518
0.077359,1.2128,12.687
-1.2141,0.48554,3.6611
-1.1135,1.026,5.3011
-0.0068493,0.87073,7.5126
1.5326,-0.38176,9.5865
-0.76967,0.42889,1.8095
0.37138,-0.29913,1.0927
-0.22558,-0.89987,3.3707
1.1174,0.63475,16.429
-1.0891,0.067454,3.5467
0.032557,-0.18712,0.78714
0.55253,0.29173,5.6437
1.1006,0.98769,22.418
1.5442,0.39293,19.063
0.085931,0.19455,2.2609
-1.4916,0.27978,5.6564
-0.7423,0.05122,1.5035
-1.0616,-0.77447,9.0365
2.3505,0.78678,44.361
-0.6156,1.4089,10.175
0.74808,-0.5341,2.2107
-0.19242,1.9278,22.831
0.88861,-0.17625,4.4878
-0.76485,-0.24375,2.3193
-1.4023,-0.8976,14.912
-1.4224,-0.79234,13.709
0.48819,-0.95297,1.8642
-0.17738,0.35391,1.9322
-0.19605,1.597,16.406
1.4193,0.52747,19.211
0.29158,0.8542,9.8096
0.19781,1.3418,16.161
1.5877,-2.4995,14.31
-0.80447,-0.16756,2.4757
0.69662,0.35302,7.5829
0.83509,0.71725,13.662
-0.24372,-1.3049,7.3826
0.21567,-1.0059,2.5023
-1.1658,0.79068,3.8645
-1.148,-0.11657,4.4788
0.10487,0.55309,4.7254
0.72225,-0.96064,2.116
2.5855,-1.6338,15.925
-0.66689,0.7612,3.608
0.18733,1.1933,13.616
-0.082494,1.6321,18.293
-1.933,-1.5322,36.98
-0.43897,-1.3369,9.2102
-1.7947,-1.4738,32.61
